"entry","protein_families"
"P30519","Heme oxygenase family"
"P30520","Adenylosuccinate synthetase family"
"P30530","Protein kinase superfamily, Tyr protein kinase family, AXL/UFO subfamily"
"P30531","Sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family, SLC6A1 subfamily"
"P30532","Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-5/CHRNA5 sub-subfamily"
"P30533","Alpha-2-MRAP family"
"P30536","TspO/BZRP family"
"P30542","G-protein coupled receptor 1 family"
"P30550","G-protein coupled receptor 1 family"
"P30556","G-protein coupled receptor 1 family"
"P30559","G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily"
"P30566","Lyase 1 family, Adenylosuccinate lyase subfamily"
"P30613","Pyruvate kinase family"
"P30679","G-alpha family, G(q) subfamily"
"P30711","GST superfamily, Theta family"
"P30740","Serpin family, Ov-serpin subfamily"
"P30793","GTP cyclohydrolase I family"
"P30825","Amino acid-polyamine-organocation (APC) superfamily, Cationic amino acid transporter (CAT) (TC 2.A.3.3) family"
"P30837","Aldehyde dehydrogenase family"
"P30838","Aldehyde dehydrogenase family"
"P30872","G-protein coupled receptor 1 family"
"P30874","G-protein coupled receptor 1 family"
"P30876","RNA polymerase beta chain family"
"P30926","Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Beta-4/CHRNB4 sub-subfamily"
"P30939","G-protein coupled receptor 1 family"
"P30968","G-protein coupled receptor 1 family"
"P30988","G-protein coupled receptor 2 family"
"P30989","G-protein coupled receptor 1 family, Neurotensin receptor subfamily, NTSR1 sub-subfamily"
"P30990","Neurotensin family"
"P31025","Calycin superfamily, Lipocalin family"
"P31040","FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily"
"P31146","WD repeat coronin family"
"P31150","Rab GDI family"
"P31151","S-100 family"
"P31152","Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily"
"P31153","AdoMet synthase family"
"P31213","Steroid 5-alpha reductase family"
"P31249","Antp homeobox family"
"P31260","Abd-B homeobox family"
"P31268","Antp homeobox family"
"P31269","Abd-B homeobox family"
"P31270","Abd-B homeobox family"
"P31271","Abd-B homeobox family"
"P31273","Antp homeobox family"
"P31274","Abd-B homeobox family"
"P31276","Abd-B homeobox family"
"P31321","CAMP-dependent kinase regulatory chain family"
"P31323","CAMP-dependent kinase regulatory chain family"
"P31350","Ribonucleoside diphosphate reductase small chain family"
"P31371","Heparin-binding growth factors family"
"P31391","G-protein coupled receptor 1 family"
"P31415","Calsequestrin family"
"P31431","Syndecan proteoglycan family"
"P31512","FMO family"
"P31513","FMO family"
"P31639","Sodium:solute symporter (SSF) (TC 2.A.21) family"
"P31641","Sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family, SLC6A6 subfamily"
"P31644","Ligand-gated ion channel (TC 1.A.9) family, Gamma-aminobutyric acid receptor (TC 1.A.9.5) subfamily, GABRA5 sub-subfamily"
"P31645","Sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family, SLC6A4 subfamily"
"P31749","Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily"
"P31751","Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily"
"P31785","Type I cytokine receptor family, Type 5 subfamily"
"P31930","Peptidase M16 family, UQCRC1/QCR1 subfamily"
"P31937","HIBADH-related family, 3-hydroxyisobutyrate dehydrogenase subfamily"
"P31939","PurH family"
"P31941","Cytidine and deoxycytidylate deaminase family"
"P31944","Peptidase C14A family"
"P31946","14-3-3 family"
"P31947","14-3-3 family"
"P31949","S-100 family"
"P31997","Immunoglobulin superfamily, CEA family"
"P32004","Immunoglobulin superfamily, L1/neurofascin/NgCAM family"
"P32019","Inositol 1,4,5-trisphosphate 5-phosphatase type II family"
"P32119","Peroxiredoxin family, AhpC/Prx1 subfamily"
"P32121","Arrestin family"
"P32189","FGGY kinase family"
"P32238","G-protein coupled receptor 1 family"
"P32239","G-protein coupled receptor 1 family"
"P32241","G-protein coupled receptor 2 family"
"P32242","Paired homeobox family, Bicoid subfamily"
"P32243","Paired homeobox family, Bicoid subfamily"
"P32245","G-protein coupled receptor 1 family"
"P32246","G-protein coupled receptor 1 family"
"P32247","G-protein coupled receptor 1 family"
"P32248","G-protein coupled receptor 1 family"
"P32249","G-protein coupled receptor 1 family"
"P32297","Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-3/CHRNA3 sub-subfamily"
"P32298","Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily"
"P32302","G-protein coupled receptor 1 family"
"P32320","Cytidine and deoxycytidylate deaminase family"
"P32321","Cytidine and deoxycytidylate deaminase family"
"P32322","Pyrroline-5-carboxylate reductase family"
"P32418","Ca(2+):cation antiporter (CaCA) (TC 2.A.19) family, SLC8 subfamily"
"P32455","TRAFAC class dynamin-like GTPase superfamily, GB1/RHD3 GTPase family, GB1 subfamily"
"P32456","TRAFAC class dynamin-like GTPase superfamily, GB1/RHD3 GTPase family, GB1 subfamily"
"P32519","ETS family"
"P32745","G-protein coupled receptor 1 family"
"P32754","4HPPD family"
"P32780","TFB1 family"
"P32856","Syntaxin family"
"P32881","Alpha/beta interferon family"
"P32927","Type I cytokine receptor family, Type 4 subfamily"
"P32929","Trans-sulfuration enzymes family"
"P32942","Immunoglobulin superfamily, ICAM family"
"P32969","Universal ribosomal protein uL6 family"
"P32970","Tumor necrosis factor family"
"P32971","Tumor necrosis factor family"
"P33032","G-protein coupled receptor 1 family"
"P33121","ATP-dependent AMP-binding enzyme family"
"P33176","TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, Kinesin subfamily"
"P33260","Cytochrome P450 family"
"P33261","Cytochrome P450 family"
"P33316","DUTPase family"
"P33402","Adenylyl cyclase class-4/guanylyl cyclase family"
"P33527","ABC transporter superfamily, ABCC family, Conjugate transporter (TC 3.A.1.208) subfamily"
"P33763","S-100 family"
"P33764","S-100 family"
"P33778","Histone H2B family"
"P33897","ABC transporter superfamily, ABCD family, Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily"
"P33908","Glycosyl hydrolase 47 family"
"P33947","ERD2 family"
"P33981","Protein kinase superfamily, Ser/Thr protein kinase family"
"P33991","MCM family"
"P33992","MCM family"
"P33993","MCM family"
"P34059","Sulfatase family"
"P34096","Pancreatic ribonuclease family"
"P34130","NGF-beta family"
"P34741","Syndecan proteoglycan family"
"P34810","LAMP family"
"P34896","SHMT family"
"P34897","SHMT family"
"P34903","Ligand-gated ion channel (TC 1.A.9) family, Gamma-aminobutyric acid receptor (TC 1.A.9.5) subfamily, GABRA3 sub-subfamily"
"P34913","AB hydrolase superfamily, Epoxide hydrolase family"
"P34925","Protein kinase superfamily, Tyr protein kinase family"
"P34931","Heat shock protein 70 family"
"P34932","Heat shock protein 70 family"
"P34947","Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily"
"P34949","Mannose-6-phosphate isomerase type 1 family"
"P34969","G-protein coupled receptor 1 family"
"P34972","G-protein coupled receptor 1 family"
"P34981","G-protein coupled receptor 1 family"
"P34982","G-protein coupled receptor 1 family"
"P34995","G-protein coupled receptor 1 family"
"P34998","G-protein coupled receptor 2 family"
"P35030","Peptidase S1 family"
"P35052","Glypican family"
"P35080","Profilin family"
"P35125","Peptidase C19 family"
"P35212","Connexin family, Alpha-type (group II) subfamily"
"P35218","Alpha-carbonic anhydrase family"
"P35219","Alpha-carbonic anhydrase family"
"P35221","Vinculin/alpha-catenin family"
"P35222","Beta-catenin family"
"P35225","IL-4/IL-13 family"
"P35228","NOS family"
"P35232","Prohibitin family"
"P35236","Protein-tyrosine phosphatase family, Non-receptor class subfamily"
"P35237","Serpin family, Ov-serpin subfamily"
"P35243","Recoverin family"
"P35244","Replication factor A protein 3 family"
"P35247","SFTPD family"
"P35249","Activator 1 small subunits family"
"P35250","Activator 1 small subunits family"
"P35251","Activator 1 large subunit family"
"P35268","Eukaryotic ribosomal protein eL22 family"
"P35269","TFIIF alpha subunit family"
"P35270","Sepiapterin reductase family"
"P35318","Adrenomedullin family"
"P35321","Cornifin (SPRR) family"
"P35326","Cornifin (SPRR) family"
"P35346","G-protein coupled receptor 1 family"
"P35348","G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1A sub-subfamily"
"P35354","Prostaglandin G/H synthase family"
"P35367","G-protein coupled receptor 1 family"
"P35368","G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1B sub-subfamily"
"P35372","G-protein coupled receptor 1 family"
"P35398","Nuclear hormone receptor family, NR1 subfamily"
"P35408","G-protein coupled receptor 1 family"
"P35414","G-protein coupled receptor 1 family"
"P35442","Thrombospondin family"
"P35443","Thrombospondin family"
"P35452","Abd-B homeobox family"
"P35453","Abd-B homeobox family"
"P35462","G-protein coupled receptor 1 family"
"P35475","Glycosyl hydrolase 39 family"
"P35498","Sodium channel (TC 1.A.1.10) family, Nav1.1/SCN1A subfamily"
"P35499","Sodium channel (TC 1.A.1.10) family, Nav1.4/SCN4A subfamily"
"P35503","UDP-glycosyltransferase family"
"P35504","UDP-glycosyltransferase family"
"P35520","Cysteine synthase/cystathionine beta-synthase family"
"P35523","Chloride channel (TC 2.A.49) family, ClC-1/CLCN1 subfamily"
"P35527","Intermediate filament family"
"P35548","Msh homeobox family"
"P35555","Fibrillin family"
"P35556","Fibrillin family"
"P35557","Hexokinase family"
"P35558","Phosphoenolpyruvate carboxykinase [GTP] family"
"P35573","Glycogen debranching enzyme family"
"P35575","Glucose-6-phosphatase family"
"P35579","TRAFAC class myosin-kinesin ATPase superfamily, Myosin family"
"P35580","TRAFAC class myosin-kinesin ATPase superfamily, Myosin family"
"P35590","Protein kinase superfamily, Tyr protein kinase family, Tie subfamily"
"P35606","WD repeat COPB2 family"
"P35609","Alpha-actinin family"
"P35610","Membrane-bound acyltransferase family, Sterol o-acyltransferase subfamily"
"P35611","Aldolase class II family, Adducin subfamily"
"P35612","Aldolase class II family, Adducin subfamily"
"P35625","Protease inhibitor I35 (TIMP) family"
"P35626","Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily"
"P35637","RRM TET family"
"P35638","BZIP family"
"P35670","Cation transport ATPase (P-type) (TC 3.A.3) family, Type IB subfamily"
"P35680","HNF1 homeobox family"
"P35749","TRAFAC class myosin-kinesin ATPase superfamily, Myosin family"
"P35754","Glutaredoxin family"
"P35789","Krueppel C2H2-type zinc-finger protein family"
"P35790","Choline/ethanolamine kinase family"
"P35813","PP2C family"
"P35900","Intermediate filament family"
"P35908","Intermediate filament family"
"P35913","Cyclic nucleotide phosphodiesterase family"
"P35914","HMG-CoA lyase family"
"P35916","Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily"
"P35968","Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily"
"P35998","AAA ATPase family"
"P36021","Major facilitator superfamily, Monocarboxylate porter (TC 2.A.1.13) family"
"P36222","Glycosyl hydrolase 18 family"
"P36268","Gamma-glutamyltransferase family"
"P36269","Gamma-glutamyltransferase family"
"P36382","Connexin family, Alpha-type (group II) subfamily"
"P36383","Connexin family, Gamma-type subfamily"
"P36402","TCF/LEF family"
"P36404","Small GTPase superfamily, Arf family"
"P36405","Small GTPase superfamily, Arf family"
"P36406","Small GTPase superfamily, Arf family"
"P36507","Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily"
"P36508","Krueppel C2H2-type zinc-finger protein family"
"P36542","ATPase gamma chain family"
"P36543","V-ATPase E subunit family"
"P36544","Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-7/CHRNA7 sub-subfamily"
"P36551","Aerobic coproporphyrinogen-III oxidase family"
"P36575","Arrestin family"
"P36578","Universal ribosomal protein uL4 family"
"P36639","Nudix hydrolase family"
"P36776","Peptidase S16 family"
"P36871","Phosphohexose mutase family"
"P36873","PPP phosphatase family, PP-1 subfamily"
"P36888","Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily"
"P36894","Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"
"P36896","Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"
"P36897","Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"
"P36952","Serpin family, Ov-serpin subfamily"
"P36954","Archaeal RpoM/eukaryotic RPA12/RPB9/RPC11 RNA polymerase family"
"P36955","Serpin family"
"P36956","SREBP family"
"P36957","2-oxoacid dehydrogenase family"
"P36959","IMPDH/GMPR family, GuaC type 1 subfamily"
"P36969","Glutathione peroxidase family"
"P37023","Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"
"P37058","Short-chain dehydrogenases/reductases (SDR) family, 17-beta-HSD 3 subfamily"
"P37059","Short-chain dehydrogenases/reductases (SDR) family"
"P37088","Amiloride-sensitive sodium channel (TC 1.A.6) family, SCNN1A subfamily"
"P37108","SRP14 family"
"P37173","Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"
"P37198","Nucleoporin NSP1/NUP62 family"
"P37231","Nuclear hormone receptor family, NR1 subfamily"
"P37235","Recoverin family"
"P37268","Phytoene/squalene synthase family"
"P37275","Delta-EF1/ZFH-1 C2H2-type zinc-finger family"
"P37287","Glycosyltransferase group 1 family, Glycosyltransferase 4 subfamily"
"P37288","G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily"
"P37802","Calponin family"
"P37837","Transaldolase family, Type 1 subfamily"
"P37840","Synuclein family"
"P38117","ETF beta-subunit/FixA family"
"P38405","G-alpha family, G(s) subfamily"
"P38432","Coilin family"
"P38435","Vitamin K-dependent gamma-carboxylase family"
"P38484","Type II cytokine receptor family"
"P38567","Glycosyl hydrolase 56 family"
"P38570","Integrin alpha chain family"
"P38571","AB hydrolase superfamily, Lipase family"
"P38606","ATPase alpha/beta chains family"
"P38646","Heat shock protein 70 family"
"P38919","DEAD box helicase family, eIF4A subfamily"
"P38935","DNA2/NAM7 helicase family"
"P38936","CDI family"
"P39019","Eukaryotic ribosomal protein eS19 family"
"P39023","Universal ribosomal protein uL3 family"
"P39059","Multiplexin collagen family"
"P39060","Multiplexin collagen family"
"P39086","Glutamate-gated ion channel (TC 1.A.10.1) family, GRIK1 subfamily"
"P39210","Peroxisomal membrane protein PXMP2/4 family"
"P39656","DDOST 48 kDa subunit family"
"P39687","ANP32 family"
"P39748","XPG/RAD2 endonuclease family, FEN1 subfamily"
"P39877","Phospholipase A2 family"
"P39880","CUT homeobox family"
"P39900","Peptidase M10A family"
"P39905","TGF-beta family, GDNF subfamily"
"P40121","Villin/gelsolin family"
"P40123","CAP family"
"P40126","Tyrosinase family"
"P40145","Adenylyl cyclase class-4/guanylyl cyclase family"
"P40189","Type I cytokine receptor family, Type 2 subfamily"
"P40198","Immunoglobulin superfamily, CEA family"
"P40199","Immunoglobulin superfamily, CEA family"
"P40222","Taxilin family"
"P40225","EPO/TPO family"
"P40227","TCP-1 chaperonin family"
"P40238","Type I cytokine receptor family, Type 1 subfamily"
"P40261","Class I-like SAM-binding methyltransferase superfamily, NNMT/PNMT/TEMT family"
"P40305","IFI6/IFI27 family"
"P40306","Peptidase T1B family"
"P40337","VHL family"
"P40394","Zinc-containing alcohol dehydrogenase family, Class-IV subfamily"
"P40424","TALE/PBX homeobox family"
"P40425","TALE/PBX homeobox family"
"P40426","TALE/PBX homeobox family"
"P40429","Universal ribosomal protein uL13 family"
"P40616","Small GTPase superfamily, Arf family"
"P40617","Small GTPase superfamily, Arf family"
"P40692","DNA mismatch repair MutL/HexB family"
"P40763","Transcription factor STAT family"
"P40818","Peptidase C19 family"
"P40855","Peroxin-19 family"
"P40879","SLC26A/SulP transporter (TC 2.A.53) family"
"P40925","LDH/MDH superfamily, MDH type 2 family"
"P40926","LDH/MDH superfamily, MDH type 1 family"
"P40933","IL-15/IL-21 family"
"P40937","Activator 1 small subunits family"
"P40938","Activator 1 small subunits family"
"P40939","Enoyl-CoA hydratase/isomerase family"
"P40939"," 3-hydroxyacyl-CoA dehydrogenase family"
"P40967","PMEL/NMB family"
"P41002","Cyclin family, Cyclin AB subfamily"
"P41091","TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EIF2G subfamily"
"P41143","G-protein coupled receptor 1 family"
"P41145","G-protein coupled receptor 1 family"
"P41146","G-protein coupled receptor 1 family"
"P41159","Leptin family"
"P41161","ETS family"
"P41162","ETS family"
"P41180","G-protein coupled receptor 3 family"
"P41181","MIP/aquaporin (TC 1.A.8) family"
"P41208","Centrin family"
"P41212","ETS family"
"P41214","EIF2D family"
"P41219","Intermediate filament family"
"P41221","Wnt family"
"P41222","Calycin superfamily, Lipocalin family"
"P41223","BUD31 (G10) family"
"P41226","Ubiquitin-activating E1 family"
"P41227","Acetyltransferase family, ARD1 subfamily"
"P41229","JARID1 histone demethylase family"
"P41231","G-protein coupled receptor 1 family"
"P41235","Nuclear hormone receptor family, NR2 subfamily"
"P41236","Protein phosphatase inhibitor 2 family"
"P41238","Cytidine and deoxycytidylate deaminase family"
"P41240","Protein kinase superfamily, Tyr protein kinase family, CSK subfamily"
"P41250","Class-II aminoacyl-tRNA synthetase family"
"P41252","Class-I aminoacyl-tRNA synthetase family"
"P41271","DAN family"
"P41273","Tumor necrosis factor family"
"P41279","Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily"
"P41439","Folate receptor family"
"P41440","Reduced folate carrier (RFC) transporter (TC 2.A.48) family"
"P41567","SUI1 family"
"P41586","G-protein coupled receptor 2 family"
"P41587","G-protein coupled receptor 2 family"
"P41594","G-protein coupled receptor 3 family"
"P41595","G-protein coupled receptor 1 family"
"P41597","G-protein coupled receptor 1 family"
"P41732","Tetraspanin (TM4SF) family"
"P41743","Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily"
"P41968","G-protein coupled receptor 1 family"
"P41970","ETS family"
"P42025","Actin family, ARP1 subfamily"
"P42126","Enoyl-CoA hydratase/isomerase family"
"P42166","LEM family"
"P42167","LEM family"
"P42224","Transcription factor STAT family"
"P42226","Transcription factor STAT family"
"P42229","Transcription factor STAT family"
"P42261","Glutamate-gated ion channel (TC 1.A.10.1) family, GRIA1 subfamily"
"P42262","Glutamate-gated ion channel (TC 1.A.10.1) family, GRIA2 subfamily"
"P42263","Glutamate-gated ion channel (TC 1.A.10.1) family, GRIA3 subfamily"
"P42285","Helicase family, SKI2 subfamily"
"P42330","Aldo/keto reductase family"
"P42336","PI3/PI4-kinase family"
"P42338","PI3/PI4-kinase family"
"P42345","PI3/PI4-kinase family"
"P42356","PI3/PI4-kinase family, Type III PI4K subfamily"
"P42574","Peptidase C14A family"
"P42575","Peptidase C14A family"
"P42658","Peptidase S9B family"
"P42677","Eukaryotic ribosomal protein eS27 family"
"P42679","Protein kinase superfamily, Tyr protein kinase family, CSK subfamily"
"P42680","Protein kinase superfamily, Tyr protein kinase family, TEC subfamily"
"P42681","Protein kinase superfamily, Tyr protein kinase family, TEC subfamily"
"P42684","Protein kinase superfamily, Tyr protein kinase family, ABL subfamily"
"P42685","Protein kinase superfamily, Tyr protein kinase family, SRC subfamily"
"P42694","DNA2/NAM7 helicase family"
"P42701","Type I cytokine receptor family, Type 2 subfamily"
"P42702","Type I cytokine receptor family, Type 2 subfamily"
"P42765","Thiolase-like superfamily, Thiolase family"
"P42766","Universal ribosomal protein uL29 family"
"P42771","CDKN2 cyclin-dependent kinase inhibitor family"
"P42772","CDKN2 cyclin-dependent kinase inhibitor family"
"P42773","CDKN2 cyclin-dependent kinase inhibitor family"
"P42785","Peptidase S28 family"
"P42830","Intercrine alpha (chemokine CxC) family"
"P42857","NSG family"
"P42858","Huntingtin family"
"P42892","Peptidase M13 family"
"P42898","Methylenetetrahydrofolate reductase family"
"P43003","Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family, SLC1A3 subfamily"
"P43004","Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family, SLC1A2 subfamily"
"P43005","Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family, SLC1A1 subfamily"
"P43007","Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family, SLC1A4 subfamily"
"P43026","TGF-beta family"
"P43034","WD repeat LIS1/nudF family"
"P43088","G-protein coupled receptor 1 family"
"P43115","G-protein coupled receptor 1 family"
"P43116","G-protein coupled receptor 1 family"
"P43119","G-protein coupled receptor 1 family"
"P43146","Immunoglobulin superfamily, DCC family"
"P43155","Carnitine/choline acetyltransferase family"
"P43166","Alpha-carbonic anhydrase family"
"P43220","G-protein coupled receptor 2 family"
"P43234","Peptidase C1 family"
"P43235","Peptidase C1 family"
"P43246","DNA mismatch repair MutS family"
"P43250","Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily"
"P43251","Carbon-nitrogen hydrolase superfamily, BTD/VNN family"
"P43268","ETS family"
"P43304","FAD-dependent glycerol-3-phosphate dehydrogenase family"
"P43307","TRAP-alpha family"
"P43308","TRAP-beta family"
"P43320","Beta/gamma-crystallin family"
"P43351","RAD52 family"
"P43353","Aldehyde dehydrogenase family"
"P43354","Nuclear hormone receptor family, NR4 subfamily"
"P43378","Protein-tyrosine phosphatase family, Non-receptor class 3 subfamily"
"P43403","Protein kinase superfamily, Tyr protein kinase family, SYK/ZAP-70 subfamily"
"P43405","Protein kinase superfamily, Tyr protein kinase family, SYK/ZAP-70 subfamily"
"P43487","RANBP1 family"
"P43490","NAPRTase family"
"P43626","Immunoglobulin superfamily"
"P43628","Immunoglobulin superfamily"
"P43629","Immunoglobulin superfamily"
"P43630","Immunoglobulin superfamily"
"P43631","Immunoglobulin superfamily"
"P43632","Immunoglobulin superfamily"
"P43652","ALB/AFP/VDB family"
"P43657","G-protein coupled receptor 1 family"
"P43681","Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-4/CHRNA4 sub-subfamily"
"P43686","AAA ATPase family"
"P43699","NK-2 homeobox family"
"P43897","EF-Ts family"
"P45378","Troponin T family"
"P45379","Troponin T family"
"P45381","AspA/AstE family, Aspartoacylase subfamily"
"P45452","Peptidase M10A family"
"P45844","ABC transporter superfamily, ABCG family, Eye pigment precursor importer (TC 3.A.1.204) subfamily"
"P45877","Cyclophilin-type PPIase family"
"P45880","Eukaryotic mitochondrial porin family"
"P45954","Acyl-CoA dehydrogenase family"
"P45974","Peptidase C19 family"
"P45983","Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily"
"P45984","Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily"
"P45985","Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily"
"P46019","Phosphorylase b kinase regulatory chain family"
"P46020","Phosphorylase b kinase regulatory chain family"
"P46059","Major facilitator superfamily, Proton-dependent oligopeptide transporter (POT/PTR) (TC 2.A.17) family"
"P46060","RNA1 family"
"P46063","Helicase family, RecQ subfamily"
"P46087","Class I-like SAM-binding methyltransferase superfamily, RsmB/NOP family"
"P46089","G-protein coupled receptor 1 family"
"P46091","Chemokine-like receptor (CMKLR) family"
"P46092","G-protein coupled receptor 1 family"
"P46093","G-protein coupled receptor 1 family"
"P46094","G-protein coupled receptor 1 family"
"P46098","Ligand-gated ion channel (TC 1.A.9) family, 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily, HTR3A sub-subfamily"
"P46100","SNF2/RAD54 helicase family"
"P46108","CRK family"
"P46109","CRK family"
"P46199","TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, IF-2 subfamily"
"P46439","GST superfamily, Mu family"
"P46459","AAA ATPase family"
"P46527","CDI family"
"P46531","NOTCH family"
"P46597","Class I-like SAM-binding methyltransferase superfamily, Cation-independent O-methyltransferase family"
"P46663","G-protein coupled receptor 1 family, Bradykinin receptor subfamily, BDKRB1 sub-subfamily"
"P46695","IER3 family"
"P46721","Organo anion transporter (TC 2.A.60) family"
"P46734","Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily"
"P46736","Peptidase M67A family, BRCC36 subfamily"
"P46776","Universal ribosomal protein uL15 family"
"P46777","Universal ribosomal protein uL18 family"
"P46778","Eukaryotic ribosomal protein eL21 family"
"P46779","Eukaryotic ribosomal protein eL28 family"
"P46781","Universal ribosomal protein uS4 family"
"P46782","Universal ribosomal protein uS7 family"
"P46783","Eukaryotic ribosomal protein eS10 family"
"P46821","MAP1 family"
"P46926","Glucosamine/galactosamine-6-phosphate isomerase family"
"P46937","YAP1 family"
"P46952","3-HAO family"
"P46976","Glycosyltransferase 8 family, Glycogenin subfamily"
"P46977","STT3 family"
"P47211","G-protein coupled receptor 1 family"
"P47224","DSS4/MSS4 family"
"P47710","Alpha-casein family"
"P47755","F-actin-capping protein alpha subunit family"
"P47756","F-actin-capping protein beta subunit family"
"P47804","G-protein coupled receptor 1 family, Opsin subfamily"
"P47813","EIF-1A family"
"P47869","Ligand-gated ion channel (TC 1.A.9) family, Gamma-aminobutyric acid receptor (TC 1.A.9.5) subfamily, GABRA2 sub-subfamily"
"P47870","Ligand-gated ion channel (TC 1.A.9) family, Gamma-aminobutyric acid receptor (TC 1.A.9.5) subfamily, GABRB2 sub-subfamily"
"P47871","G-protein coupled receptor 2 family"
"P47872","G-protein coupled receptor 2 family"
"P47895","Aldehyde dehydrogenase family"
"P47897","Class-I aminoacyl-tRNA synthetase family"
"P47898","G-protein coupled receptor 1 family"
"P47900","G-protein coupled receptor 1 family"
"P47901","G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily"
"P47902","Caudal homeobox family"
"P47914","Eukaryotic ribosomal protein eL29 family"
"P47985","Rieske iron-sulfur protein family"
"P47989","Xanthine dehydrogenase family"
"P47992","Intercrine gamma family"
"P48023","Tumor necrosis factor family"
"P48029","Sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family, SLC6A8 subfamily"
"P48039","G-protein coupled receptor 1 family"
"P48047","ATPase delta chain family"
"P48048","Inward rectifier-type potassium channel (TC 1.A.2.1) family, KCNJ1 subfamily"
"P48050","Inward rectifier-type potassium channel (TC 1.A.2.1) family, KCNJ4 subfamily"
"P48051","Inward rectifier-type potassium channel (TC 1.A.2.1) family, KCNJ6 subfamily"
"P48052","Peptidase M14 family"
"P48058","Glutamate-gated ion channel (TC 1.A.10.1) family, GRIA4 subfamily"
"P48061","Intercrine alpha (chemokine CxC) family"
"P48065","Sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family, SLC6A12 subfamily"
"P48066","Sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family, SLC6A11 subfamily"
"P48067","Sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family, SLC6A9 subfamily"
"P48145","G-protein coupled receptor 1 family"
"P48146","G-protein coupled receptor 1 family"
"P48147","Peptidase S9A family"
"P48163","Malic enzymes family"
"P48165","Connexin family, Alpha-type (group II) subfamily"
"P48167","Ligand-gated ion channel (TC 1.A.9) family, Glycine receptor (TC 1.A.9.3) subfamily, GLRB sub-subfamily"
"P48169","Ligand-gated ion channel (TC 1.A.9) family, Gamma-aminobutyric acid receptor (TC 1.A.9.5) subfamily, GABRA4 sub-subfamily"
"P48200","Aconitase/IPM isomerase family"
"P48201","ATPase C chain family"
"P48230","L6 tetraspanin family"
"P48357","Type I cytokine receptor family, Type 2 subfamily"
"P48378","RFX family"
"P48380","RFX family"
"P48382","RFX family"
