"""uncharacterized"" (is used in Protein name UniProt)",Bait detected+enriched (=self loop),Cluster ID (Markov),CPX - Recommended name,Cross-reference (ComplexPortal),Gene names  (UniP-SGD-primary or ordered locus),Gene names  (UniP-SGD-primary+synonym or ordered locus),Is in GFP library,name,SGD Brief Description,SGD ID,SGD Name,SGD Qualifier,shared name,Subcellular location [CC],TaBaQ (relative abundance),Uncharacterized (SGD Qualifier+Uniprot combined),UniProt ID
FALSE,TRUE,4,,,YRA2,YRA2,TRUE,YKL214C,Member of the REF (RNA and export factor binding proteins) family,S000001697;,Yeast RNA Annealing protein,Verified,YKL214C,Nucleus {ECO:0000269|PubMed:11390651}.,18.2804,FALSE,P36036
FALSE,TRUE,4,U1 snRNP,CPX-23,PRP40,PRP40,TRUE,YKL012W,U1 snRNP protein involved in splicing,S000001495;,Pre-mRNA Processing,Verified,YKL012W,Nucleus {ECO:0000269|PubMed:15020406}.,18.47207,FALSE,P33203
FALSE,TRUE,4,U4/U6.U5 tri-snRNP complex;U4 snRNP;U4/U6 snRNP,CPX-25;CPX-31;CPX-32,PRP4,PRP4;RNA4,TRUE,YPR178W,Splicing factor,S000006382;,Pre-mRNA Processing,Verified,YPR178W,Nucleus {ECO:0000305}.,18.02495,FALSE,P20053
FALSE,TRUE,4,PRP19-associated complex,CPX-1651,SPP2,SPP2,TRUE,YOR148C,Essential protein that promotes the first step of splicing,S000005674;,Suppressor of PrP,Verified,YOR148C,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,16.58551,FALSE,Q02521
FALSE,FALSE,4,PRP19-associated complex,CPX-1651,CDC40,CDC40;PRP17;SLU4;XRS2,TRUE,YDR364C,Pre-mRNA splicing factor,S000002772;,Cell Division Cycle,Verified,YDR364C,Nucleus.,,FALSE,P40968
FALSE,TRUE,4,U1 snRNP;U4/U6.U5 tri-snRNP complex;U2 snRNP;U5 snRNP;AAR2-U5 snRNP;U4 snRNP;U4/U6 snRNP;Sm complex;PRP19-associated complex,CPX-23;CPX-25;CPX-26;CPX-29;CPX-30;CPX-31;CPX-32;CPX-43;CPX-1651,SMX3,SMX3,TRUE,YPR182W,Core Sm protein Sm F,S000006386;,,Verified,YPR182W,Nucleus.,19.98683,FALSE,P54999
FALSE,TRUE,4,PRP19-associated complex,CPX-1651,CWC25,CWC25,TRUE,YNL245C,Splicing factor required for the first step of pre-mRNA splicing,S000005189;,Complexed With Cef1p,Verified,YNL245C,"Nucleus {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14690591}.",16.76229,FALSE,P53854
FALSE,TRUE,4,U2 snRNP;SF3A complex;PRP19-associated complex,CPX-26;CPX-1648;CPX-1651,PRP21,PRP21;SPP91,TRUE,YJL203W,Subunit of the SF3a splicing factor complex,S000003739;,Pre-mRNA Processing,Verified,YJL203W,Nucleus.,17.37464,FALSE,P32524
FALSE,TRUE,4,U4/U6.U5 tri-snRNP complex,CPX-25,SPP381,SPP381,TRUE,YBR152W,"mRNA splicing factor, component of U4/U6.U5 tri-snRNP",S000000356;,Suppressor of PrP38-1,Verified,YBR152W,Nucleus {ECO:0000269|PubMed:14562095}.,18.98536,FALSE,P38282
FALSE,TRUE,4,AAR2-U5 snRNP,CPX-30,AAR2,AAR2,TRUE,YBL074C,Component of the U5 snRNP complex,S000000170;,A1-Alpha2 Repression,Verified,YBL074C,"Cytoplasm. Nucleus. Note=This protein lacks a nuclear localization signal, it may interact in the cytoplasm with a component of spliceosomes via the leucine-zipper and then be transported into the nucleus.",18.39612,FALSE,P32357
FALSE,TRUE,4,Post-mRNA release spliceosomal complex,CPX-1886,NTR2,NTR2,TRUE,YKR022C,Essential protein that forms a dimer with Ntr1p,S000001730;,NineTeen complex Related protein,Verified,YKR022C,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,17.23254,FALSE,P36118
FALSE,TRUE,4,PRP19-associated complex,CPX-1651,CWC22,CWC22,TRUE,YGR278W,Spliceosome-associated protein that is required for pre-mRNA splicing,S000003510;,Complexed With Cef1p,Verified,YGR278W,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,17.9661,FALSE,P53333
FALSE,TRUE,4,PRP19-associated complex,CPX-1651,CWC2,CWC2;NTC40;SLC3,TRUE,YDL209C,Member of the NineTeen Complex (NTC),S000002368;,Complexed With Cef1p,Verified,YDL209C,Nucleus {ECO:0000269|PubMed:14562095}.,16.94015,FALSE,Q12046
FALSE,TRUE,4,PRP19-associated complex;NineTeen complex,CPX-1651;CPX-1885,NTC20,NTC20;SNT384,TRUE,YBR188C,Member of the NineTeen Complex (NTC),S000000392;,Prp19p (NineTeen)-associated Complex,Verified,YBR188C,Nucleus {ECO:0000269|PubMed:14562095}.,18.82824,FALSE,P38302
FALSE,TRUE,4,PRP19-associated complex;NineTeen complex,CPX-1651;CPX-1885,CLF1,CLF1;NTC77;SYF3,TRUE,YLR117C,Member of the NineTeen Complex (NTC),S000004107;,Crooked neck-Like Factor,Verified,YLR117C,Nucleus {ECO:0000269|PubMed:14562095}.,18.39481,FALSE,Q12309
FALSE,TRUE,4,PRP19-associated complex,CPX-1651,BUD31,BUD31;CWC14,TRUE,YCR063W,Component of the SF3b subcomplex of the U2 snRNP,S000000659;,BUD site selection,Verified,YCR063W,Nucleus {ECO:0000305}.,18.24551,FALSE,P25337
FALSE,TRUE,4,U4/U6.U5 tri-snRNP complex;U5 snRNP;PRP19-associated complex,CPX-25;CPX-29;CPX-1651,BRR2,BRR2;RSS1;SNU246,TRUE,YER172C,RNA-dependent ATPase RNA helicase (DEIH box),S000000974;,Bad Response to Refrigeration,Verified,YER172C,Nucleus {ECO:0000305}.,18.80315,FALSE,P32639
TRUE,TRUE,4,,,YKR041W,YKR041W,TRUE,YKR041W,Protein of unknown function,S000001749;,,Verified,YKR041W,,14.32459,TRUE,P36134
FALSE,TRUE,4,U1 snRNP;U4/U6.U5 tri-snRNP complex;U2 snRNP;U5 snRNP;AAR2-U5 snRNP;U4 snRNP;U4/U6 snRNP;Sm complex;PRP19-associated complex,CPX-23;CPX-25;CPX-26;CPX-29;CPX-30;CPX-31;CPX-32;CPX-43;CPX-1651,SMD1,SMD1,TRUE,YGR074W,Core Sm protein Sm D1,S000003306;,snRNA Sm binding site protein D1,Verified,YGR074W,Nucleus.,19.85626,FALSE,Q02260
FALSE,TRUE,4,U4/U6.U5 tri-snRNP complex,CPX-25,PRP38,PRP38,TRUE,YGR075C,Unique component of the U4/U6.U5 tri-snRNP particle,S000003307;,Pre-mRNA Processing,Verified,YGR075C,Nucleus {ECO:0000269|PubMed:14562095}.,20.2727,FALSE,Q00723
FALSE,TRUE,4,PRP19-associated complex;NineTeen complex,CPX-1651;CPX-1885,CEF1,CEF1;NTC85,TRUE,YMR213W,Essential splicing factor,S000004826;,CErevisiae homolog of cdc Five,Verified,YMR213W,"Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000255|PROSITE-ProRule:PRU00625, ECO:0000269|PubMed:14562095}.",18.02842,FALSE,Q03654
FALSE,TRUE,4,U5 snRNP,CPX-29,LIN1,LIN1,TRUE,YHR156C,Non-essential component of U5 snRNP,S000001199;,LINk,Verified,YHR156C,Nucleus {ECO:0000269|PubMed:12402242}. Note=Probably associated with chromatin.,15.56582,FALSE,P38852
FALSE,TRUE,4,U2 snRNP;RES complex;PRP19-associated complex,CPX-26;CPX-1649;CPX-1651,IST3,IST3;SNU17,TRUE,YIR005W,Component of the U2 snRNP,S000001444;,Increased Sodium Tolerance,Verified,YIR005W,Cytoplasm. Nucleus.,16.3759,FALSE,P40565
FALSE,TRUE,4,PRP19-associated complex,CPX-1651,CWC27,CWC27;CYP7,TRUE,YPL064C,Component of a complex containing Cef1p,S000005985;,Complexed With Cef1p,Verified,YPL064C,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,16.0528,FALSE,Q02770
FALSE,FALSE,4,U2 snRNP;PRP19-associated complex,CPX-26;CPX-1651,MSL1,MSL1,TRUE,YIR009W,U2B component of U2 snRNP,S000001448;,MUD Synthetic Lethal,Verified,YIR009W,Nucleus.,16.16804,FALSE,P40567
FALSE,TRUE,4,U4/U6.U5 tri-snRNP complex;U5 snRNP;AAR2-U5 snRNP;PRP19-associated complex,CPX-25;CPX-29;CPX-30;CPX-1651,PRP8,PRP8;DBF3;DNA39;RNA8;SLT21;USA2,TRUE,YHR165C,Component of U4/U6-U5 snRNP complex,S000001208;,Pre-mRNA Processing,Verified,YHR165C,"Nucleus {ECO:0000269|PubMed:17934474, ECO:0000269|PubMed:2835658}.",18.83696,FALSE,P33334
FALSE,TRUE,4,,,USB1,USB1,TRUE,YLR132C,Putative poly(U)-specific 3'-to-5' RNA exonuclease,S000004122;,U Six Biogenesis,Verified,YLR132C,Nucleus {ECO:0000269|PubMed:14690591}. Mitochondrion {ECO:0000269|PubMed:14690591}.,19.23556,FALSE,Q12208
FALSE,TRUE,4,U4/U6.U5 tri-snRNP complex;U4/U6 snRNP,CPX-25;CPX-32,PRP31,PRP31,TRUE,YGR091W,Splicing factor,S000003323;,Pre-mRNA Processing,Verified,YGR091W,Nucleus.,18.43596,FALSE,P49704
FALSE,FALSE,4,U1 snRNP;U4/U6.U5 tri-snRNP complex;U2 snRNP;U5 snRNP;AAR2-U5 snRNP;U4 snRNP;U4/U6 snRNP;Sm complex,CPX-23;CPX-25;CPX-26;CPX-29;CPX-30;CPX-31;CPX-32;CPX-43,SMX2,SMX2;SNP2,TRUE,YFL017W-A,Core Sm protein Sm G,S000002965;,,Verified,YFL017W-A,Nucleus.,20.85649,FALSE,P40204
FALSE,TRUE,4,U2 snRNP;SF3A complex;PRP19-associated complex,CPX-26;CPX-1648;CPX-1651,PRP9,PRP9,TRUE,YDL030W,Subunit of the SF3a splicing factor complex,S000002188;,Pre-mRNA Processing,Verified,YDL030W,Nucleus.,18.24153,FALSE,P19736
FALSE,TRUE,4,U6 snRNP complex;U4/U6.U5 tri-snRNP complex;U4/U6 snRNP;LSM2-8 complex,CPX-24;CPX-25;CPX-32;CPX-44,LSM8,LSM8,TRUE,YJR022W,Lsm (Like Sm) protein,S000003783;,Like SM,Verified,YJR022W,Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm {ECO:0000269|PubMed:14562095}.,18.57393,FALSE,P47093
FALSE,TRUE,4,PRP19-associated complex,CPX-1651,PRP22,PRP22,TRUE,YER013W,DEAH-box RNA-dependent ATPase/ATP-dependent RNA helicase,S000000815;,Pre-mRNA Processing,Verified,YER013W,Nucleus.,19.38953,FALSE,P24384
FALSE,TRUE,4,,,PRP2,PRP2;RNA2,TRUE,YNR011C,RNA-dependent DExD/H-box ATPase,S000005294;,Pre-mRNA Processing,Verified,YNR011C,"Nucleus {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:3536958}.",17.63255,FALSE,P20095
FALSE,FALSE,4,,,PRP18,PRP18,FALSE,YGR006W,Splicing factor and component of snRNP U5,S000003238;,Pre-mRNA Processing,Verified,YGR006W,Nucleus.,,FALSE,P33411
FALSE,TRUE,4,PRP19-associated complex,CPX-1651,YJU2,YJU2;CWC16,TRUE,YKL095W,Essential protein required for pre-mRNA splicing,S000001578;,,Verified,YKL095W,"Nucleus {ECO:0000255|HAMAP-Rule:MF_03226, ECO:0000269|PubMed:14562095}.",17.5167,FALSE,P28320
FALSE,TRUE,4,PRP19-associated complex;NineTeen complex,CPX-1651;CPX-1885,SYF1,SYF1;NTC90,TRUE,YDR416W,Member of the NineTeen Complex (NTC),S000002824;,SYnthetic lethal with cdcForty,Verified,YDR416W,Nucleus {ECO:0000269|PubMed:14562095}.,20.1166,FALSE,Q04048
FALSE,TRUE,4,U1 snRNP,CPX-23,PRP42,PRP42;MUD16;SNU65,TRUE,YDR235W,U1 snRNP protein involved in splicing,S000002643;,Pre-mRNA Processing,Verified,YDR235W,Nucleus {ECO:0000269|PubMed:14562095}.,18.89544,FALSE,Q03776
FALSE,TRUE,4,PRP19-associated complex;NineTeen complex,CPX-1651;CPX-1885,ISY1,ISY1;NTC30;UTR3,TRUE,YJR050W,Member of the NineTeen Complex (NTC),S000003811;,Interactor of SYf1p,Verified,YJR050W,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,16.83193,FALSE,P21374
FALSE,TRUE,4,U2 snRNP;RES complex;PRP19-associated complex,CPX-26;CPX-1649;CPX-1651,BUD13,BUD13;CWC26;SLC7,TRUE,YGL174W,Subunit of the RES complex,S000003142;,BUD site selection,Verified,YGL174W,Cytoplasm. Nucleus.,16.54763,FALSE,P46947
FALSE,TRUE,4,,,YPK3,YPK3,TRUE,YBR028C,AGC kinase,S000000232;,,Verified,YBR028C,Cytoplasm {ECO:0000269|PubMed:14562095}.,20.76168,FALSE,P38070
FALSE,TRUE,4,U2 snRNP;SF3A complex;PRP19-associated complex,CPX-26;CPX-1648;CPX-1651,PRP11,PRP11;PRP10;RNA11,TRUE,YDL043C,Subunit of the SF3a splicing factor complex,S000002201;,Pre-mRNA Processing,Verified,YDL043C,Nucleus {ECO:0000250}.,16.88391,FALSE,Q07350
FALSE,TRUE,4,U1 snRNP;U4/U6.U5 tri-snRNP complex;U2 snRNP;U5 snRNP;AAR2-U5 snRNP;U4 snRNP;U4/U6 snRNP;Sm complex;PRP19-associated complex,CPX-23;CPX-25;CPX-26;CPX-29;CPX-30;CPX-31;CPX-32;CPX-43;CPX-1651,SMB1,SMB1,TRUE,YER029C,Core Sm protein Sm B,S000000831;,SmB/B' homolog,Verified,YER029C,Nucleus.,19.57114,FALSE,P40018
FALSE,TRUE,4,U1 snRNP,CPX-23,SNU56,SNU56;MUD10,TRUE,YDR240C,Component of U1 snRNP required for mRNA splicing via spliceosome,S000002648;,Small NUclear ribonucleoprotein associated,Verified,YDR240C,Nucleus {ECO:0000269|PubMed:14562095}.,18.22636,FALSE,Q03782
FALSE,TRUE,4,U2 snRNP;SF3B complex;PRP19-associated complex,CPX-26;CPX-1647;CPX-1651,CUS1,CUS1,TRUE,YMR240C,Protein required for assembly of U2 snRNP into the spliceosome,S000004853;,Cold sensitive U2 snRNA Suppressor,Verified,YMR240C,Nucleus {ECO:0000305}.,18.30245,FALSE,Q02554
FALSE,FALSE,4,U1 snRNP;U4/U6.U5 tri-snRNP complex;U2 snRNP;U5 snRNP;AAR2-U5 snRNP;U4 snRNP;U4/U6 snRNP;Sm complex,CPX-23;CPX-25;CPX-26;CPX-29;CPX-30;CPX-31;CPX-32;CPX-43,SME1,SME1,FALSE,YOR159C,Core Sm protein Sm E,S000005685;,Sm protein E,Verified,YOR159C,Cytoplasm {ECO:0000269|PubMed:11027265}. Nucleus {ECO:0000269|PubMed:11027265}.,,FALSE,Q12330
FALSE,TRUE,4,PRP19-associated complex;NineTeen complex,CPX-1651;CPX-1885,SYF2,SYF2;NTC31,TRUE,YGR129W,Member of the NineTeen Complex (NTC),S000003361;,SYnthetic lethal with cdc40 (Forty),Verified,YGR129W,Nucleus {ECO:0000269|PubMed:14562095}.,18.57177,FALSE,P53277
FALSE,TRUE,4,PRP19-associated complex,CPX-1651,ECM2,ECM2;SLT11,TRUE,YBR065C,Pre-mRNA splicing factor,S000000269;,ExtraCellular Mutant,Verified,YBR065C,Nucleus {ECO:0000269|PubMed:14562095}.,17.81486,FALSE,P38241
FALSE,FALSE,4,U1 snRNP;U4/U6.U5 tri-snRNP complex;U2 snRNP;U5 snRNP;AAR2-U5 snRNP;U4 snRNP;U4/U6 snRNP;Sm complex;PRP19-associated complex,CPX-23;CPX-25;CPX-26;CPX-29;CPX-30;CPX-31;CPX-32;CPX-43;CPX-1651,SMD3,SMD3,FALSE,YLR147C,Core Sm protein Sm D3,S000004137;,,Verified,YLR147C,Cytoplasm {ECO:0000269|PubMed:7799953}. Nucleus {ECO:0000269|PubMed:7799953}.,,FALSE,P43321
FALSE,TRUE,4,,,GLR1,GLR1,TRUE,YPL091W,Cytosolic and mitochondrial glutathione oxidoreductase,S000006012;,GLutathione Reductase,Verified,YPL091W,Cytoplasm {ECO:0000250}.,23.10132,FALSE,P41921
FALSE,TRUE,4,U4/U6.U5 tri-snRNP complex;U5 snRNP,CPX-25;CPX-29,PRP6,PRP6;RNA6,TRUE,YBR055C,Splicing factor,S000000259;,Pre-mRNA Processing,Verified,YBR055C,Nucleus.,19.34766,FALSE,P19735
FALSE,TRUE,4,,,FYV6,FYV6,TRUE,YNL133C,Protein of unknown function,S000005077;,Function required for Yeast Viability,Verified,YNL133C,"Nucleus {ECO:0000269|PubMed:14562095}. Chromosome, telomere {ECO:0000305|PubMed:14562095}.",15.76235,FALSE,P53913
FALSE,TRUE,4,PRP19-associated complex;NineTeen complex,CPX-1651;CPX-1885,PRP19,PRP19;PSO4,TRUE,YLL036C,Splicing factor associated with the spliceosome,S000003959;,Pre-RNA Processing,Verified,YLL036C,Nucleus {ECO:0000305}.,20.97309,FALSE,P32523
FALSE,TRUE,4,U4/U6.U5 tri-snRNP complex;U4 snRNP;U4/U6 snRNP,CPX-25;CPX-31;CPX-32,PRP3,PRP3;RNA3,TRUE,YDR473C,Splicing factor,S000002881;,Pre-mRNA Processing,Verified,YDR473C,Nucleus.,19.03488,FALSE,Q03338
FALSE,TRUE,4,U4/U6.U5 tri-snRNP complex,CPX-25,SNU66,SNU66,TRUE,YOR308C,Component of the U4/U6.U5 snRNP complex,S000005835;,Small NUclear ribonucleoprotein associated,Verified,YOR308C,"Nucleus {ECO:0000269|PubMed:11290703, ECO:0000269|PubMed:14562095}.",18.0982,FALSE,Q12420
FALSE,TRUE,4,U2 snRNP;SF3B complex;PRP19-associated complex,CPX-26;CPX-1647;CPX-1651,HSH155,HSH155,TRUE,YMR288W,U2-snRNP associated splicing factor,S000004901;,Human Sap Homolog,Verified,YMR288W,Nucleus {ECO:0000250}.,18.27541,FALSE,P49955
FALSE,TRUE,4,PRP19-associated complex,CPX-1651,PRP45,PRP45;FUN20,TRUE,YAL032C,Protein required for pre-mRNA splicing,S000000030;,Pre-mRNA Processing,Verified,YAL032C,"Nucleus {ECO:0000269|PubMed:12359070, ECO:0000269|PubMed:14562095}.",19.25338,FALSE,P28004
FALSE,FALSE,4,U4/U6.U5 tri-snRNP complex,CPX-25,SNU23,SNU23,TRUE,YDL098C,Component of the U4/U6.U5 snRNP complex,S000002256;,Small NUclear ribonucleoprotein associated,Verified,YDL098C,Nucleus {ECO:0000269|PubMed:14562095}.,17.88182,FALSE,Q12368
FALSE,TRUE,4,PRP19-associated complex,CPX-1651,SLU7,SLU7;SLT17,TRUE,YDR088C,RNA splicing factor,S000002495;,Synergistic Lethal with U5 snRNA,Verified,YDR088C,Nucleus {ECO:0000269|PubMed:14562095}.,17.80242,FALSE,Q02775
FALSE,TRUE,4,PRP19-associated complex;NineTeen complex,CPX-1651;CPX-1885,SNT309,SNT309;NTC25,TRUE,YPR101W,Member of the NineTeen Complex (NTC),S000006305;,Synthetic lethal to prp NineTeen mutation,Verified,YPR101W,Nucleus {ECO:0000269|PubMed:14562095}.,17.91401,FALSE,Q06091
FALSE,TRUE,4,U1 snRNP,CPX-23,LUC7,LUC7;EPE1;EXM2,TRUE,YDL087C,Essential protein associated with the U1 snRNP complex,S000002245;,Lethal Unless Cap-binding complex is produced,Verified,YDL087C,Nucleus {ECO:0000269|PubMed:14562095}.,17.60757,FALSE,Q07508
FALSE,TRUE,4,PRP19-associated complex,CPX-1651,PRP46,PRP46;CWC1;NTC50,TRUE,YPL151C,Member of the NineTeen Complex (NTC),S000006072;,Pre-mRNA Processing,Verified,YPL151C,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,18.60299,FALSE,Q12417
FALSE,TRUE,51,U4/U6.U5 tri-snRNP complex,CPX-25,SAD1,SAD1,TRUE,YFR005C,Conserved zinc-finger domain protein involved in pre-mRNA splicing,S000001901;,SnRNP Assembly Defective,Verified,YFR005C,"Nucleus {ECO:0000269|PubMed:10022888, ECO:0000269|PubMed:14562095}.",17.79851,FALSE,P43589
FALSE,TRUE,51,,,CIK1,CIK1,TRUE,YMR198W,Kinesin-associated protein,S000004811;,Chromosome Instability and Karyogamy,Verified,YMR198W,"Nucleus. Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body.",16.04471,FALSE,Q01649
FALSE,TRUE,51,,,CAR2,CAR2;CARGB,TRUE,YLR438W,L-ornithine transaminase (OTAse),S000004430;,Catabolism of ARginine,Verified,YLR438W,Cytoplasm.,24.31663,FALSE,P07991
FALSE,TRUE,51,,,DXO1,DXO1,TRUE,YDR370C,mRNA 5'-end-capping quality-control protein,S000002778;,Decapping eXOnuclease,Verified,YDR370C,Cytoplasm {ECO:0000269|PubMed:14562095}.,17.17646,FALSE,Q06349
FALSE,TRUE,51,,,GDS1,GDS1,TRUE,YOR355W,Protein of unknown function,S000005882;,,Verified,YOR355W,,19.41309,FALSE,P41913
FALSE,TRUE,51,,,RIT1,RIT1,TRUE,YMR283C,Initiator methionine 2'-O-ribosyl phosphate transferase,S000004896;,Ribosylation of Initiator tRNA,Verified,YMR283C,,19.066,FALSE,P23796
FALSE,TRUE,51,,,HYM1,HYM1,TRUE,YKL189W,Component of the RAM signaling network,S000001672;,,Verified,YKL189W,,19.67705,FALSE,P32464
FALSE,TRUE,51,,,MSE1,MSE1,TRUE,YOL033W,Mitochondrial glutamyl-tRNA synthetase,S000005393;,"Mitochondrial aminoacyl-tRNA Synthetase, Glutamate (E)",Verified,YOL033W,Mitochondrion matrix.,18.00929,FALSE,P48525
FALSE,TRUE,51,,,TDP1,TDP1,TRUE,YBR223C,Tyrosyl-DNA phosphodiesterase I,S000000427;,Tyrosyl-DNA Phosphodiesterase,Verified,YBR223C,Nucleus {ECO:0000269|PubMed:12206772}.,16.40308,FALSE,P38319
TRUE,TRUE,51,,,ANR2,ANR2,TRUE,YKL047W,Protein of unknown function,S000001530;,Avl Nine Related family 2,Verified,YKL047W,"Lipid droplet {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:24868093}.",18.94301,TRUE,P36090
FALSE,TRUE,51,,,SGM1,SGM1,TRUE,YJR134C,Protein of unknown function,S000003895;,Slow growth on Galactose and Mannose,Verified,YJR134C,Golgi apparatus {ECO:0000269|PubMed:14562095}.,18.90375,FALSE,P47166
FALSE,TRUE,51,,,CAD1,CAD1;YAP2,TRUE,YDR423C,AP-1-like basic leucine zipper (bZIP) transcriptional activator,S000002831;,CADmium resistance,Verified,YDR423C,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15341652, ECO:0000269|PubMed:17187783}. Nucleus {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15341652, ECO:0000269|PubMed:17187783}. Note=Oxidized CAD1/YAP2 is found predominantly in the nucleus, while reduced CAD1/YAP2 is continuously exported to the cytoplasm by CRM1/exportin 1. {ECO:0000269|PubMed:15341652, ECO:0000269|PubMed:17187783}.",18.76839,FALSE,P24813
FALSE,TRUE,51,,,SMI1,SMI1;KNR4;KTR4,TRUE,YGR229C,Protein involved in the regulation of cell wall synthesis,S000003461;,Suppressor of MAR Inhibitor,Verified,YGR229C,Nucleus.,23.82804,FALSE,P32566
FALSE,TRUE,51,,,PDE2,PDE2;SRA5,TRUE,YOR360C,High-affinity cyclic AMP phosphodiesterase,S000005887;,PhosphoDiEsterase,Verified,YOR360C,,20.93095,FALSE,P06776
FALSE,TRUE,201,CYP8-TUP1 corepressor complex,CPX-1663,TUP1,TUP1;AAR1;AER2;AMM1;CYC9;FLK1;SFL2;UMR7,TRUE,YCR084C,"General repressor of transcription, forms complex with Cyc8p",S000000680;,dTMP-UPtake,Verified,YCR084C,Nucleus {ECO:0000269|PubMed:14562095}.,21.41265,FALSE,P16649
FALSE,TRUE,201,CYP8-TUP1 corepressor complex,CPX-1663,CYC8,CYC8;CRT8;SSN6,TRUE,YBR112C,General transcriptional co-repressor,S000000316;,CYtochrome C,Verified,YBR112C,Nucleus.,21.95307,FALSE,P14922
FALSE,FALSE,201,,,HMS1,HMS1,FALSE,YOR032C,bHLH protein with similarity to myc-family transcription factors,S000005558;,High-copy Mep Suppressor,Verified,YOR032C,Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981}.,,FALSE,Q12398
FALSE,TRUE,201,,,CTT1,CTT1,TRUE,YGR088W,Cytosolic catalase T,S000003320;,CaTalase T,Verified,YGR088W,Cytoplasm {ECO:0000269|PubMed:14562095}.,18.39012,FALSE,P06115
FALSE,TRUE,204,,,PEX29,PEX29,TRUE,YDR479C,ER-resident protein involved in peroxisomal biogenesis,S000002887;,PEroXisome related,Verified,YDR479C,Peroxisome membrane {ECO:0000269|PubMed:12707309};Multi-pass membrane protein {ECO:0000269|PubMed:12707309}.,20.73736,FALSE,Q03370
FALSE,FALSE,204,,,PEX28,PEX28,FALSE,YHR150W,Peroxisomal integral membrane peroxin,S000001193;,PEroXisome related,Verified,YHR150W,Peroxisome membrane {ECO:0000269|PubMed:12707309};Multi-pass membrane protein {ECO:0000269|PubMed:12707309}.,,FALSE,P38848
FALSE,TRUE,204,,,PEX32,PEX32,TRUE,YBR168W,Peroxisomal integral membrane protein,S000000372;,PEroXisome related,Verified,YBR168W,Peroxisome membrane {ECO:0000269|PubMed:14562095};Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.,17.15979,FALSE,P38292
FALSE,TRUE,204,,,PEX30,PEX30,TRUE,YLR324W,ER-resident protein involved in peroxisomal biogenesis,S000004316;,PEroXisome related,Verified,YLR324W,Peroxisome membrane {ECO:0000250};Multi-pass membrane protein {ECO:0000250}.,20.58845,FALSE,Q06169
FALSE,FALSE,443,Golgi SNARE complex SED5-BOS1-BET1-SEC22;Golgi SNARE complex SED5-GOS1-SFT1-YKT6,CPX-1854;CPX-1855,SED5,SED5,FALSE,YLR026C,cis-Golgi t-SNARE syntaxin,S000004016;,Suppressor of Erd2 Deletion,Verified,YLR026C,Membrane {ECO:0000305};Single-pass type IV membrane protein {ECO:0000305}. Golgi apparatus membrane {ECO:0000305};Single-pass type IV membrane protein {ECO:0000305}.,,FALSE,Q01590
FALSE,TRUE,443,,,SLY1,SLY1,TRUE,YDR189W,Hydrophilic protein involved in ER/Golgi vesicle trafficking,S000002597;,Suppressor of Loss of Ypt1,Verified,YDR189W,Cytoplasm. Membrane;Peripheral membrane protein.,22.65706,FALSE,P22213
FALSE,TRUE,162,,,SOL2,SOL2,TRUE,YCR073W-A,Protein with a possible role in tRNA export,S000000718;,Suppressor Of Los1-1,Verified,YCR073W-A,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15454531}.",20.65427,FALSE,P37262
FALSE,TRUE,162,,,ADE16,ADE16,TRUE,YLR028C,Enzyme of 'de novo' purine biosynthesis,S000004018;,ADEnine,Verified,YLR028C,,23.49611,FALSE,P54113
FALSE,TRUE,162,,,MUK1,MUK1,TRUE,YPL070W,Guanine nucleotide exchange factor (GEF),S000005991;,coMpUtationally-linked to Kap95,Verified,YPL070W,Cytoplasm {ECO:0000269|PubMed:14562095}.,19.07731,FALSE,Q02866
FALSE,TRUE,162,,,ADE17,ADE17,TRUE,YMR120C,Enzyme of 'de novo' purine biosynthesis,S000004727;,ADEnine,Verified,YMR120C,,25.75019,FALSE,P38009
FALSE,TRUE,162,,,BPL1,BPL1;ACC2,TRUE,YDL141W,Biotin:apoprotein ligase,S000002300;,Biotin:apoProtein Ligase,Verified,YDL141W,Cytoplasm {ECO:0000269|PubMed:14562095}.,20.56528,FALSE,P48445
